지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
47290,정평동,현대타운,59.82,"18,000",1996,2021-01-30,23
47290,진량읍 봉회리,경산1차삼주봉황타운,59.26,"7,300",1996,2021-01-31,19
47290,옥곡동,부영우리마을(2단지),84.9751,"18,800",2005,2021-01-13,1
47290,정평동,현대타운,59.82,"17,350",1996,2021-01-23,5
47290,대평동,협성휴포레경산대평,84.9438,"36,000",2018,2021-01-18,25
47290,진량읍 부기리,창신무학타운,59.91,"8,800",1996,2021-01-30,13
47290,진량읍 양기리,초원장미타운,59.88,"7,300",1996,2021-01-28,18
47290,정평동,현대타운,84.99,"29,500",1996,2021-01-29,18
47290,압량읍 신대리,경산한신휴플러스아파트,84.9175,"30,000",2016,2021-01-24,17
47290,하양읍 금락리,하나맨션(1차),79.275,"12,000",1992,2021-01-23,2
47290,정평동,현대타운,84.99,"29,600",1996,2021-01-22,19
47290,진량읍 선화리,이안경산진량아파트,74.8265,"22,800",2017,2021-01-23,11
47290,중산동,옥산태왕ㆍ한라타운,59.99,"16,800",1996,2021-01-13,13
47290,사동,부영2차,84.9768,"14,900",2001,2021-01-25,2
47290,백천동,경산 삼도뷰엔빌W,70.9683,"26,000",2018,2021-01-09,2
47290,사동,부영3차원앙마을,84.9751,"14,800",2003,2021-01-25,3
47290,대평동,대평그린빌,59.99,"16,200",2004,2021-01-17,1
47290,압량읍 신대리,부영사랑으로2차,59.9605,"15,000",2011,2021-01-22,11
47290,압량읍 부적리,부적주공,59.84,"11,000",1997,2021-01-15,15
47290,대평동,대평그린빌,59.99,"18,800",2004,2021-01-16,13
47290,백천동,경산 삼도뷰엔빌W,70.9683,"26,900",2018,2021-01-07,10
47290,옥산동,창신성암타운,53.82,"9,500",1993,2021-01-24,12
47290,대평동,대평그린빌,84.03,"27,500",2004,2021-01-14,13
47290,진량읍 선화리,이안경산진량아파트,59.893,"18,400",2017,2021-01-23,18
47290,하양읍 금락리,하양평광아파트,59.95,"13,500",1998,2021-01-28,15
47290,백천동,부영초록마을,84.9751,"15,850",2004,2021-01-12,6
47290,대평동,협성휴포레경산대평,67.9184,"28,800",2018,2021-01-22,23
47290,사동,창신백조1,44.325,"5,400",1990,2021-01-29,4
47290,정평동,현대타운,84.99,"29,500",1996,2021-01-31,13
47290,사동,동산,59.9,"5,500",1991,2021-01-22,5
47290,대평동,대평그린빌,75.99,"26,000",2004,2021-01-17,10
47290,하양읍 금락리,경산하양롯데,84.89,"19,000",1999,2021-01-29,16
47290,하양읍 금락리,하나맨션(1차),79.275,"15,300",1992,2021-01-29,7
47290,하양읍 금락리,경산하양롯데,59.94,"15,050",1999,2021-01-30,20
47290,대평동,대평그린빌,59.99,"18,850",2004,2021-01-19,8
47290,사동,부영(5차)그린마을,84.9751,"16,400",2003,2021-01-31,7
47290,사동,부영(5차)그린마을,59.987,"12,900",2003,2021-01-30,8
47290,진량읍 선화리,경산1차윤성,59.94,"7,000",1995,2021-01-31,12
47290,정평동,현대,84.93,"21,500",1992,2021-01-10,14
47290,진량읍 선화리,경산1차윤성,40.58,"3,300",1995,2021-01-29,21
47290,하양읍 동서리,하양코아루3차,84.8326,"25,600",2017,2021-01-23,10
47290,압량읍 신대리,경산푸르지오,62.968,"25,000",2015,2021-01-24,15
47290,사동,창신백조1,59.49,"6,300",1990,2021-01-18,4
47290,백천동,경산 삼도뷰엔빌W,75.9732,"26,300",2018,2021-01-17,4
47290,압량읍 부적리,한라빌라트,84.94,"15,000",1998,2021-01-30,1
47290,하양읍 금락리,하양평광아파트,59.95,"12,000",1998,2021-01-23,1
47290,계양동,계양주공,39.72,"9,300",1985,2021-01-23,2
47290,사동,팰리스부영2단지,84.9898,"29,000",2020,2021-01-16,16
47290,정평동,경산LIG1단지,84.8176,"30,300",2005,2021-01-25,6
47290,하양읍 동서리,하양코아루,84.9643,"27,500",2016,2021-01-23,11
47290,진량읍 신상리,경산우방힐타운,30,"4,300",1999,2021-01-21,16
47290,중산동,옥산태왕ㆍ한라타운,59.99,"16,400",1996,2021-01-29,1
47290,진량읍 선화리,경산1차윤성,40.58,"3,800",1995,2021-01-30,7
47290,중산동,옥산태왕ㆍ한라타운,85,"23,800",1996,2021-01-29,8
47290,사동,부영(5차)그린마을,84.9751,"16,300",2003,2021-01-25,11
47290,옥산동,우방타운,84.995,"16,500",1993,2021-01-23,8
47290,옥산동,창신성암타운,53.82,"11,200",1993,2021-01-20,4
47290,중산동,옥산태왕ㆍ한라타운,59.99,"16,300",1996,2021-01-19,5
47290,정평동,한솔3차,84.97,"22,400",1998,2021-01-26,15
47290,백천동,경산백천월드메르디앙,77.9979,"21,300",2005,2021-01-26,8
47290,삼북동,삼북주공,59.96,"10,700",1997,2021-01-03,7
