법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
문정동,올림픽훼밀리타운,136.325,90000,1988,2015-07-08,2,석촌역,개통 전
신천동,파크리오,59.95,72000,2008,2015-07-13,18,석촌역,개통 전
송파동,2차한양아파트,126.9,75800,1984,2015-07-15,6,석촌역,개통 전
문정동,올림픽훼밀리타운,84.751,75900,1988,2015-07-17,2,석촌역,개통 전
신천동,장미1,71.2,71600,1979,2015-07-18,2,석촌역,개통 전
잠실동,리센츠,84.99,109000,2008,2015-07-17,18,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,112500,1978,2015-07-23,2,석촌역,개통 전
잠실동,리센츠,84.99,105000,2008,2015-07-04,20,석촌역,개통 전
장지동,송파파인타운1단지,84.95,53000,2010,2015-07-20,2,석촌역,개통 전
송파동,2차한양아파트,64.26,50700,1984,2015-07-01,10,석촌역,개통 전
신천동,장미1,71.2,70000,1979,2015-07-24,5,석촌역,개통 전
풍납동,대동1,75.44,39000,1999,2015-07-01,4,석촌역,개통 전
오금동,우방,102.96,46500,2001,2015-07-17,6,석촌역,개통 전
신천동,장미2,82.45,77000,1979,2015-07-06,1,석촌역,개통 전
송파동,현대,59.91,38250,1997,2015-07-24,2,석촌역,개통 전
신천동,진주,59.47,70000,1980,2015-07-27,7,석촌역,개통 전
신천동,진주,81.88,88500,1980,2015-07-21,5,석촌역,개통 전
가락동,성원상떼빌,117.16,59900,2006,2015-07-17,6,석촌역,개통 전
잠실동,주공아파트 5단지,82.51,124000,1978,2015-07-08,1,석촌역,개통 전
잠실동,잠실엘스,84.97,96700,2008,2015-07-16,9,석촌역,개통 전
송파동,2차한양아파트,146.96,81000,1984,2015-07-10,9,석촌역,개통 전
오금동,혜성공원(101동),84.8,39000,1992,2015-07-21,4,석촌역,개통 전
잠실동,파크인-수,143.7984,89000,2010,2015-07-22,12,석촌역,개통 전
문정동,문정대우푸르지오2차,84.82,54000,2001,2015-07-13,3,석촌역,개통 전
마천동,금호어울림,84.96,46000,2006,2015-07-07,5,석촌역,개통 전
잠실동,잠실엘스,84.8,98000,2008,2015-07-15,18,석촌역,개통 전
장지동,송파파인타운12단지,84.92,63200,2011,2015-07-18,3,석촌역,개통 전
잠실동,잠실엘스,59.96,83800,2008,2015-07-20,7,석촌역,개통 전
가락동,현대(6차),84.8,49500,1991,2015-07-04,9,석촌역,개통 전
신천동,파크리오,144.77,137500,2008,2015-07-14,28,석촌역,개통 전
마천동,우방아파트,79.07,41000,2002,2015-07-30,4,석촌역,개통 전
문정동,세양청마루,59.91,40500,2004,2015-07-01,11,석촌역,개통 전
거여동,우방1,84.9,39700,1999,2015-07-04,5,석촌역,개통 전
방이동,올림픽선수기자촌2단지,83.06,75000,1988,2015-07-31,4,석촌역,개통 전
잠실동,트리지움,84.97,89000,2007,2015-07-10,24,석촌역,개통 전
문정동,문정시영,39.69,27000,1989,2015-07-01,12,석촌역,개통 전
신천동,장미1,155.22,130000,1979,2015-07-17,10,석촌역,개통 전
가락동,시영2,44.6,65300,1982,2015-07-18,4,석촌역,개통 전
송파동,한양아파트,158.61,84500,1983,2015-07-13,7,석촌역,개통 전
잠실동,주공아파트 5단지,82.61,126000,1978,2015-07-11,3,석촌역,개통 전
마천동,마천동금호타운1,59.93,33000,1998,2015-07-14,7,석촌역,개통 전
잠실동,리센츠,124.22,138500,2008,2015-07-01,8,석촌역,개통 전
신천동,파크리오,59.95,74000,2008,2015-07-28,11,석촌역,개통 전
가락동,시영1,51.4,71700,1980,2015-07-25,4,석촌역,개통 전
신천동,파크리오,84.9,85000,2008,2015-07-23,21,석촌역,개통 전
신천동,파크리오,59.86,74500,2008,2015-07-08,13,석촌역,개통 전
잠실동,우성아파트,80.39,75000,1981,2015-07-07,6,석촌역,개통 전
거여동,거여5단지,59.74,33300,1997,2015-07-01,3,석촌역,개통 전
가락동,두산위브,25.05,14800,2004,2015-07-20,10,석촌역,개통 전
거여동,금호어울림,84.98,49400,2003,2015-07-14,5,석촌역,개통 전
잠실동,리센츠,124.22,132500,2008,2015-07-02,5,석촌역,개통 전
잠실동,레이크팰리스,84.82,85300,2006,2015-07-15,1,석촌역,개통 전
잠실동,리센츠,27.68,43000,2008,2015-07-11,16,석촌역,개통 전
가락동,시영1,45.12,60730,1980,2015-07-20,2,석촌역,개통 전
거여동,현대2차,82.96,44000,1992,2015-07-24,9,석촌역,개통 전
신천동,파크리오,84.9,82300,2008,2015-07-06,22,석촌역,개통 전
가락동,프라자,84.67,49900,1985,2015-07-18,7,석촌역,개통 전
신천동,파크리오,84.9,82400,2008,2015-07-11,23,석촌역,개통 전
신천동,파크리오,144.77,141000,2008,2015-07-06,17,석촌역,개통 전
송파동,2차한양아파트,126.9,78500,1984,2015-07-13,6,석촌역,개통 전
잠실동,주공아파트 5단지,81.75,119000,1978,2015-07-08,6,석촌역,개통 전
신천동,파크리오,84.9,88000,2008,2015-07-08,6,석촌역,개통 전
장지동,송파파인타운3단지,84.94,59900,2008,2015-07-22,11,석촌역,개통 전
신천동,더샵스타리버,128.74,84500,2006,2015-07-11,9,석촌역,개통 전
송파동,2차한양아파트,126.9,73000,1984,2015-07-09,12,석촌역,개통 전
가락동,가락금호아파트,59.91,49250,1997,2015-07-11,6,석촌역,개통 전
장지동,송파파인타운7단지,84.93,60000,2007,2015-07-04,9,석촌역,개통 전
잠실동,레이크팰리스,59.97,79000,2006,2015-07-18,19,석촌역,개통 전
가락동,한화오벨리스크,25.32,16600,2004,2015-07-10,21,석촌역,개통 전
풍납동,신성노바빌아파트,59.78,35000,2000,2015-07-10,3,석촌역,개통 전
문정동,올림픽훼밀리타운,84.705,69900,1988,2015-07-01,1,석촌역,개통 전
마천동,송파파크데일2단지,59.91,43500,2011,2015-07-04,6,석촌역,개통 전
잠실동,리센츠,124.22,151000,2008,2015-07-02,24,석촌역,개통 전
송파동,현대,59.91,41500,1997,2015-07-09,8,석촌역,개통 전
송파동,가락삼익맨숀,84.828,55200,1984,2015-07-07,1,석촌역,개통 전
송파동,미성맨션,58.98,43000,1985,2015-07-09,13,석촌역,개통 전
문정동,문정시영,39.69,23900,1989,2015-07-04,1,석촌역,개통 전
송파동,래미안송파파인탑,87.05,81000,2012,2015-07-18,10,석촌역,개통 전
송파동,2차한양아파트,108.68,67000,1984,2015-07-06,12,석촌역,개통 전
장지동,송파파인타운3단지,84.94,60000,2008,2015-07-20,3,석촌역,개통 전
장지동,송파파인타운3단지,84.93,62000,2008,2015-07-25,7,석촌역,개통 전
장지동,송파파인타운7단지,84.94,63800,2007,2015-07-08,12,석촌역,개통 전
가락동,우성,58.46,48000,1986,2015-07-06,9,석촌역,개통 전
마천동,우방아파트,106.77,47300,2002,2015-07-30,17,석촌역,개통 전
가락동,우성,43.79,38500,1986,2015-07-11,3,석촌역,개통 전
마천동,우방아파트,55.32,33000,2002,2015-07-29,18,석촌역,개통 전
풍납동,쌍용,84.85,51000,1994,2015-07-04,3,석촌역,개통 전
문정동,올림픽훼밀리타운,84.751,77000,1988,2015-07-08,12,석촌역,개통 전
가락동,우성,43.79,35450,1986,2015-07-22,1,석촌역,개통 전
가락동,시영1,40.09,62100,1980,2015-07-18,1,석촌역,개통 전
신천동,파크리오,59.95,72000,2008,2015-07-23,15,석촌역,개통 전
방이동,올림픽선수기자촌1단지,100.82,90000,1988,2015-07-17,6,석촌역,개통 전
문정동,문정대우푸르지오1차,59.84,45000,1999,2015-07-08,3,석촌역,개통 전
방이동,올림픽선수기자촌2단지,83.06,81000,1988,2015-07-10,5,석촌역,개통 전
풍납동,한강극동,84.76,53500,1995,2015-07-07,13,석촌역,개통 전
가락동,가락금호아파트,59.91,49000,1997,2015-07-04,16,석촌역,개통 전
가락동,가락금호아파트,85.0,61800,1997,2015-07-20,16,석촌역,개통 전
가락동,가락금호아파트,85.0,60000,1997,2015-07-14,15,석촌역,개통 전
잠실동,잠실엘스,84.8,90000,2008,2015-07-06,2,석촌역,개통 전
마천동,송파파크데일2단지,84.86,48500,2011,2015-07-09,7,석촌역,개통 전
방이동,올림픽선수기자촌1단지,100.82,89000,1988,2015-07-02,3,석촌역,개통 전
잠실동,갤러리아팰리스,162.419,138000,2005,2015-07-06,29,석촌역,개통 전
오금동,올림픽파크센트레빌,84.1625,63900,2009,2015-07-22,6,석촌역,개통 전
풍납동,동아한가람1,84.38,47500,1995,2015-07-10,12,석촌역,개통 전
풍납동,동아한가람1,84.38,46000,1995,2015-07-03,15,석촌역,개통 전
가락동,동궁리치웰(101동),136.16,63000,2002,2015-07-07,7,석촌역,개통 전
장지동,송파파인타운3단지,84.93,57500,2008,2015-07-29,2,석촌역,개통 전
신천동,잠실아이스페이스,74.2,49500,2001,2015-07-18,19,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,110000,1978,2015-07-04,1,석촌역,개통 전
잠실동,현대,84.68,65000,1990,2015-07-20,9,석촌역,개통 전
마천동,송파파크데일1단지,114.81,64000,2011,2015-07-16,10,석촌역,개통 전
신천동,파크리오,59.86,72800,2008,2015-07-10,11,석촌역,개통 전
신천동,장미2,82.45,82800,1979,2015-07-04,10,석촌역,개통 전
잠실동,레이크팰리스,116.19,121750,2006,2015-07-18,14,석촌역,개통 전
오금동,반석블레스빌,84.15,45500,2002,2015-07-22,12,석촌역,개통 전
잠실동,리센츠,27.68,48000,2008,2015-07-10,25,석촌역,개통 전
장지동,송파파인타운13단지,84.76,64700,2011,2015-07-07,15,석촌역,개통 전
문정동,문정시영,39.69,26700,1989,2015-07-27,7,석촌역,개통 전
장지동,송파파인타운13단지,84.76,69700,2011,2015-07-09,6,석촌역,개통 전
거여동,거여4단지,49.8,34900,1997,2015-07-01,7,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,78000,1988,2015-07-18,18,석촌역,개통 전
신천동,미성,55.62,70000,1980,2015-07-15,8,석촌역,개통 전
송파동,한양아파트,64.26,48500,1983,2015-07-14,1,석촌역,개통 전
가락동,우성,43.79,34000,1986,2015-07-21,1,석촌역,개통 전
송파동,SK,83.82,52000,2001,2015-07-04,6,석촌역,개통 전
가락동,대림,68.78,40300,1988,2015-07-23,7,석촌역,개통 전
잠실동,잠실엘스,84.8,100000,2008,2015-07-06,20,석촌역,개통 전
장지동,송파파인타운5단지,84.98,62500,2008,2015-07-07,18,석촌역,개통 전
오금동,올림픽파크센트레빌,84.3755,65500,2009,2015-07-17,7,석촌역,개통 전
잠실동,잠실엘스,59.96,80000,2008,2015-07-01,5,석촌역,개통 전
가락동,시영1,51.4,68800,1980,2015-07-07,2,석촌역,개통 전
방이동,코오롱아파트,84.95,59000,1991,2015-07-24,12,석촌역,개통 전
장지동,송파파인타운6단지,84.93,60000,2008,2015-07-15,7,석촌역,개통 전
거여동,거여5단지,59.74,38000,1997,2015-07-08,4,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,113900,1978,2015-07-29,12,석촌역,개통 전
장지동,송파파인타운3단지,84.94,58500,2008,2015-07-08,3,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,113000,1978,2015-07-06,13,석촌역,개통 전
석촌동,잠실한솔,84.87,64500,2000,2015-07-27,6,석촌역,개통 전
거여동,거여2단지효성아파트,101.95,55000,1997,2015-07-25,7,석촌역,개통 전
신천동,미성,55.62,70000,1980,2015-07-08,3,석촌역,개통 전
송파동,가락삼익맨숀,84.828,59000,1984,2015-07-05,12,석촌역,개통 전
석촌동,잠실한솔,59.86,49500,2000,2015-07-23,8,석촌역,개통 전
석촌동,잠실한솔,59.86,50700,2000,2015-07-20,8,석촌역,개통 전
송파동,성지,66.18,40700,1992,2015-07-29,15,석촌역,개통 전
장지동,송파파인타운11단지,84.94,58400,2007,2015-07-08,8,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,48800,1997,2015-07-07,19,석촌역,개통 전
거여동,거여1단지,39.6,24800,1997,2015-07-17,10,석촌역,개통 전
신천동,파크리오,59.95,72700,2008,2015-07-28,14,석촌역,개통 전
가락동,sk파크타워,84.35,49700,2003,2015-07-01,6,석촌역,개통 전
신천동,파크리오,59.86,73500,2008,2015-07-04,6,석촌역,개통 전
가락동,가락우성2,46.81,32800,2000,2015-07-18,11,석촌역,개통 전
방이동,올림픽선수기자촌1단지,121.23,116000,1988,2015-07-08,2,석촌역,개통 전
오금동,아키스,67.13,30000,2003,2015-07-20,4,석촌역,개통 전
잠실동,리센츠,27.68,40500,2008,2015-07-06,5,석촌역,개통 전
잠실동,주공아파트 5단지,82.51,126500,1978,2015-07-22,7,석촌역,개통 전
방이동,한솔빌라트,203.28,93000,1995,2015-07-07,15,석촌역,개통 전
신천동,파크리오,144.77,129500,2008,2015-07-09,7,석촌역,개통 전
신천동,진주,148.06,127000,1980,2015-07-03,5,석촌역,개통 전
잠실동,레이크팰리스,59.97,76000,2006,2015-07-11,28,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,47000,1997,2015-07-06,14,석촌역,개통 전
가락동,극동,59.4,47500,1984,2015-07-04,7,석촌역,개통 전
신천동,파크리오,59.64,71900,2008,2015-07-20,15,석촌역,개통 전
잠실동,잠실엘스,84.8,94300,2008,2015-07-03,7,석촌역,개통 전
거여동,거여1단지,49.8,32000,1997,2015-07-16,3,석촌역,개통 전
신천동,파크리오,84.79,87000,2008,2015-07-17,18,석촌역,개통 전
거여동,거여1단지,59.73,38000,1997,2015-07-23,7,석촌역,개통 전
거여동,거여4단지,49.8,32500,1997,2015-07-11,10,석촌역,개통 전
마천동,마천금호어울림1차아파트,84.75,46000,2002,2015-07-08,10,석촌역,개통 전
거여동,금호어울림,84.98,49900,2003,2015-07-03,4,석촌역,개통 전
석촌동,잠실한솔,84.87,61000,2000,2015-07-06,5,석촌역,개통 전
거여동,거여4단지,49.8,30500,1997,2015-07-01,1,석촌역,개통 전
송파동,가락삼익맨숀,151.508,80500,1984,2015-07-09,3,석촌역,개통 전
송파동,호수임광,56.6,38300,1995,2015-07-02,1,석촌역,개통 전
잠실동,리센츠,84.99,102000,2008,2015-07-04,25,석촌역,개통 전
송파동,가락삼익맨숀,84.828,56500,1984,2015-07-09,1,석촌역,개통 전
잠실동,트리지움,59.88,74500,2007,2015-07-03,3,석촌역,개통 전
오금동,현대백조,84.92,50500,1997,2015-07-11,9,석촌역,개통 전
오금동,현대(2-4차),130.93,85000,1984,2015-07-08,12,석촌역,개통 전
오금동,쌍용스윗닷홈1단지,84.94,59500,2005,2015-07-06,8,석촌역,개통 전
잠실동,현대,84.68,65500,1990,2015-07-24,5,석촌역,개통 전
가락동,극동,84.96,60000,1984,2015-07-13,6,석촌역,개통 전
가락동,극동,59.4,45000,1984,2015-07-07,1,석촌역,개통 전
문정동,문정시영,25.65,18000,1989,2015-07-24,9,석촌역,개통 전
신천동,파크리오,144.77,138000,2008,2015-07-31,17,석촌역,개통 전
신천동,파크리오,84.9,84800,2008,2015-07-01,11,석촌역,개통 전
잠실동,주공아파트 5단지,82.51,130000,1978,2015-07-23,13,석촌역,개통 전
방이동,올림픽선수기자촌3단지,100.31,99000,1988,2015-07-13,11,석촌역,개통 전
신천동,잠실푸르지오월드마크,119.58,127500,2013,2015-07-04,32,석촌역,개통 전
장지동,송파파인타운2단지,84.94,56500,2008,2015-07-11,12,석촌역,개통 전
신천동,미성,55.62,67900,1980,2015-07-18,1,석촌역,개통 전
장지동,송파파인타운2단지,84.94,57500,2008,2015-07-03,5,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,111500,1978,2015-07-02,2,석촌역,개통 전
방이동,코오롱아파트,84.95,60000,1991,2015-07-04,9,석촌역,개통 전
가락동,정산파크뷰,103.97,45000,2004,2015-07-19,2,석촌역,개통 전
가락동,가락스타클래스,84.98,52000,2007,2015-07-01,4,석촌역,개통 전
오금동,우방,114.96,55200,2001,2015-07-25,7,석촌역,개통 전
방이동,코오롱아파트,84.95,57200,1991,2015-07-08,7,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,114300,1978,2015-07-29,12,석촌역,개통 전
가락동,극동,120.4,67000,1984,2015-07-04,1,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,110700,1978,2015-07-16,15,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,108000,1978,2015-07-03,2,석촌역,개통 전
거여동,거여1단지,49.8,31800,1997,2015-07-18,9,석촌역,개통 전
풍납동,현대리버빌1지구,43.2,32000,1999,2015-07-31,8,석촌역,개통 전
송파동,송파삼성래미안아파트,79.7,64500,2001,2015-07-06,15,석촌역,개통 전
가락동,가락(1차)쌍용아파트,84.69,57500,1997,2015-07-06,17,석촌역,개통 전
문정동,문정시영,25.65,18000,1989,2015-07-03,13,석촌역,개통 전
풍납동,씨티극동1,84.22,46800,1998,2015-07-04,5,석촌역,개통 전
풍납동,씨티극동1,59.95,35000,1998,2015-07-02,2,석촌역,개통 전
잠실동,트리지움,59.88,77000,2007,2015-07-10,12,석촌역,개통 전
신천동,파크리오,84.79,89800,2008,2015-07-16,20,석촌역,개통 전
가락동,두산위브,33.1,18000,2004,2015-07-23,8,석촌역,개통 전
가락동,극동,149.74,78800,1984,2015-07-30,15,석촌역,개통 전
가락동,두산위브,25.05,14800,2004,2015-07-07,8,석촌역,개통 전
가락동,가락(1차)쌍용아파트,84.69,59300,1997,2015-07-25,22,석촌역,개통 전
가락동,가락미륭아파트,60.72,40000,1986,2015-07-20,9,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,45900,1997,2015-07-11,4,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,49000,1997,2015-07-23,8,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,48900,1997,2015-07-07,21,석촌역,개통 전
신천동,장미2,99.0,89900,1979,2015-07-13,10,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,75500,1988,2015-07-06,2,석촌역,개통 전
잠실동,잠실엘스,119.93,137100,2008,2015-07-06,25,석촌역,개통 전
가락동,래미안파크팰리스,84.885,77700,2007,2015-07-03,8,석촌역,개통 전
가락동,주성드림아파트,82.46,36500,2003,2015-07-04,6,석촌역,개통 전
마천동,우방아파트,55.32,31500,2002,2015-07-07,16,석촌역,개통 전
잠실동,잠실엘스,84.97,100000,2008,2015-07-09,10,석촌역,개통 전
마천동,삼익1,59.4,30600,1996,2015-07-21,11,석촌역,개통 전
석촌동,신부파스카빌,65.02,39000,2003,2015-07-20,3,석촌역,개통 전
거여동,쌍용스윗닷홈거여역1차,105.2,53800,2006,2015-07-23,4,석촌역,개통 전
문정동,올림픽훼밀리타운,136.325,95000,1988,2015-07-27,6,석촌역,개통 전
거여동,거여5단지,59.74,37000,1997,2015-07-17,10,석촌역,개통 전
거여동,삼호아파트,59.79,34000,1999,2015-07-08,9,석촌역,개통 전
마천동,아남,70.42,37700,1992,2015-07-03,14,석촌역,개통 전
풍납동,강변현대,83.19,40500,1991,2015-07-08,5,석촌역,개통 전
신천동,파크리오,84.9,84000,2008,2015-07-18,32,석촌역,개통 전
잠실동,잠실엘스,84.8,97000,2008,2015-07-11,6,석촌역,개통 전
방이동,대림,125.075,72800,1985,2015-07-08,15,석촌역,개통 전
송파동,금강KCC,58.45,38600,2003,2015-07-28,6,석촌역,개통 전
장지동,송파파인타운3단지,84.93,60000,2008,2015-07-11,8,석촌역,개통 전
장지동,송파파인타운3단지,84.98,54000,2008,2015-07-23,1,석촌역,개통 전
신천동,파크리오,121.63,123000,2008,2015-07-02,13,석촌역,개통 전
가락동,래미안파크팰리스,114.756,102000,2007,2015-07-16,14,석촌역,개통 전
가락동,래미안파크팰리스,84.936,78500,2007,2015-07-16,16,석촌역,개통 전
잠실동,잠실엘스,84.8,96500,2008,2015-07-02,14,석촌역,개통 전
잠실동,아시아선수촌아파트,151.008,165000,1986,2015-07-23,9,석촌역,개통 전
신천동,파크리오,84.9,87000,2008,2015-07-01,13,석촌역,개통 전
잠실동,우성아파트,96.65,90000,1981,2015-07-16,12,석촌역,개통 전
풍납동,신성노바빌아파트,59.78,32000,2000,2015-07-01,10,석촌역,개통 전
잠실동,잠실엘스,84.97,98700,2008,2015-07-13,6,석촌역,개통 전
가락동,래미안파크팰리스,59.968,63000,2007,2015-07-04,8,석촌역,개통 전
잠실동,잠실엘스,84.8,94000,2008,2015-07-20,4,석촌역,개통 전
가락동,래미안파크팰리스,84.924,78500,2007,2015-07-04,24,석촌역,개통 전
송파동,한양아파트,105.52,62000,1983,2015-07-24,7,석촌역,개통 전
문정동,올림픽훼밀리타운,136.325,94700,1988,2015-07-01,4,석촌역,개통 전
오금동,올림픽파크센트레빌,84.9071,64500,2009,2015-07-26,10,석촌역,개통 전
마천동,금호어울림,84.96,44700,2006,2015-07-04,12,석촌역,개통 전
마천동,마천동금호타운1,84.79,39500,1998,2015-07-19,1,석촌역,개통 전
가락동,시영1,51.4,71213,1980,2015-07-23,5,석촌역,개통 전
문정동,올림픽훼밀리타운,84.705,72000,1988,2015-07-04,2,석촌역,개통 전
거여동,우방1,59.91,32500,1999,2015-07-07,10,석촌역,개통 전
신천동,파크리오,84.9,88000,2008,2015-07-06,9,석촌역,개통 전
문정동,문정시영,39.69,25800,1989,2015-07-01,5,석촌역,개통 전
송파동,SK,83.8,51000,2001,2015-07-18,6,석촌역,개통 전
가락동,가락3차쌍용스윗닷홈(103동),84.94,60000,2005,2015-07-09,6,석촌역,개통 전
가락동,시영1,45.12,62800,1980,2015-07-22,4,석촌역,개통 전
가락동,래미안파크팰리스,59.968,58500,2007,2015-07-17,1,석촌역,개통 전
풍납동,씨티극동1,114.63,58000,1998,2015-07-22,19,석촌역,개통 전
풍납동,현대리버빌2지구,78.78,43000,1999,2015-07-20,5,석촌역,개통 전
거여동,거여1단지,39.6,24900,1997,2015-07-14,5,석촌역,개통 전
거여동,거여1단지,49.8,31000,1997,2015-07-21,5,석촌역,개통 전
가락동,가락(1차)쌍용아파트,84.69,55600,1997,2015-07-03,12,석촌역,개통 전
거여동,현대3차,84.94,39800,1993,2015-07-04,15,석촌역,개통 전
풍납동,대동1,68.06,37400,1999,2015-07-02,4,석촌역,개통 전
문정동,문정시영,46.26,27700,1989,2015-07-14,1,석촌역,개통 전
거여동,삼호아파트,59.79,31000,1999,2015-07-04,5,석촌역,개통 전
신천동,파크리오,84.9,87500,2008,2015-07-14,35,석촌역,개통 전
송파동,2차한양아파트,108.68,70000,1984,2015-07-13,4,석촌역,개통 전
거여동,현대1차,84.91,42500,1992,2015-07-18,3,석촌역,개통 전
가락동,시영2,39.64,62800,1982,2015-07-01,2,석촌역,개통 전
마천동,송파파크데일2단지,84.86,50000,2011,2015-07-08,15,석촌역,개통 전
가락동,가락(1차)쌍용아파트,84.69,59900,1997,2015-07-04,18,석촌역,개통 전
방이동,파라다이스빌(40-0),84.66,51000,2006,2015-07-04,10,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,114000,1978,2015-07-16,11,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,110000,1978,2015-07-18,1,석촌역,개통 전
오금동,우창,109.72,59000,1985,2015-07-18,10,석촌역,개통 전
풍납동,한강극동,59.26,37000,1995,2015-07-21,4,석촌역,개통 전
오금동,삼성,73.59,39000,1989,2015-07-16,10,석촌역,개통 전
가락동,시영1,40.09,58000,1980,2015-07-09,1,석촌역,개통 전
송파동,래미안송파파인탑,71.73,69500,2012,2015-07-03,20,석촌역,개통 전
송파동,2차한양아파트,126.9,77000,1984,2015-07-10,8,석촌역,개통 전
잠실동,잠실엘스,59.96,80000,2008,2015-07-20,12,석촌역,개통 전
신천동,더샵스타리버,171.53,108000,2006,2015-07-13,18,석촌역,개통 전
잠실동,리센츠,84.99,105000,2008,2015-07-10,14,석촌역,개통 전
가락동,그린아파트,55.62,24000,1996,2015-07-17,2,석촌역,개통 전
가락동,한화오벨리스크,25.32,16800,2004,2015-07-20,19,석촌역,개통 전
거여동,삼호아파트,59.79,30000,1999,2015-07-07,4,석촌역,개통 전
거여동,메이저A동,84.54,45250,2004,2015-07-03,5,석촌역,개통 전
잠실동,잠실엘스,84.8,97000,2008,2015-07-06,3,석촌역,개통 전
풍납동,현대리버빌2지구,40.95,24700,1999,2015-07-18,7,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,112000,1978,2015-07-02,3,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,46900,1997,2015-07-04,8,석촌역,개통 전
가락동,시영2,39.64,63500,1982,2015-07-06,5,석촌역,개통 전
방이동,옥산크리스탈,74.53,41400,2001,2015-07-17,1,석촌역,개통 전
방이동,옥산크리스탈,74.53,43000,2001,2015-07-07,6,석촌역,개통 전
풍납동,극동,58.11,36000,1987,2015-07-04,1,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,112700,1978,2015-07-10,7,석촌역,개통 전
방이동,코오롱아파트,84.95,53300,1991,2015-07-17,2,석촌역,개통 전
풍납동,우성,51.2,36500,1984,2015-07-16,6,석촌역,개통 전
문정동,문정시영,39.69,25400,1989,2015-07-16,7,석촌역,개통 전
가락동,시영1,40.09,58900,1980,2015-07-15,4,석촌역,개통 전
풍납동,씨티극동1,59.95,36900,1998,2015-07-02,7,석촌역,개통 전
가락동,시영2,39.64,66950,1982,2015-07-08,4,석촌역,개통 전
거여동,거여1단지,49.8,29900,1997,2015-07-10,10,석촌역,개통 전
거여동,거여1단지,39.6,22250,1997,2015-07-13,8,석촌역,개통 전
신천동,파크리오,84.79,90000,2008,2015-07-14,18,석촌역,개통 전
가락동,현대(6차),84.8,49500,1991,2015-07-15,3,석촌역,개통 전
장지동,송파파인타운9단지,59.99,55000,2007,2015-07-16,10,석촌역,개통 전
잠실동,리센츠,84.99,93000,2008,2015-07-03,2,석촌역,개통 전
신천동,장미1,155.22,119500,1979,2015-07-06,1,석촌역,개통 전
풍납동,현대리버빌1지구,167.08,75000,1999,2015-07-01,10,석촌역,개통 전
가락동,가락금호아파트,85.0,61000,1997,2015-07-11,17,석촌역,개통 전
문정동,올림픽훼밀리타운,136.325,98000,1988,2015-07-06,6,석촌역,개통 전
풍납동,한강극동,84.76,50500,1995,2015-07-07,11,석촌역,개통 전
가락동,시영2,44.6,60619,1982,2015-07-02,5,석촌역,개통 전
석촌동,잠실한솔,84.86,58500,2000,2015-07-08,1,석촌역,개통 전
잠실동,주공아파트 5단지,76.5,115000,1978,2015-07-08,12,석촌역,개통 전
잠실동,트리지움,84.95,92300,2007,2015-07-09,17,석촌역,개통 전
장지동,송파파인타운1단지,84.95,58000,2010,2015-07-04,10,석촌역,개통 전
잠실동,잠실엘스,59.96,82800,2008,2015-07-05,12,석촌역,개통 전
가락동,대림,76.49,45000,1988,2015-07-05,14,석촌역,개통 전
문정동,동부브리앙뜨1,83.07,45000,2003,2015-07-07,9,석촌역,개통 전
장지동,송파파인타운6단지,84.93,57500,2008,2015-07-11,19,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,48900,1997,2015-07-01,19,석촌역,개통 전
마천동,송파파크데일2단지,84.86,49000,2011,2015-07-10,8,석촌역,개통 전
가락동,가락그랑밸리,81.93,38000,2001,2015-07-07,3,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,46000,1997,2015-07-01,4,석촌역,개통 전
거여동,삼호아파트,84.96,44500,1999,2015-07-06,18,석촌역,개통 전
거여동,거여5단지,59.74,37800,1997,2015-07-04,14,석촌역,개통 전
문정동,문정대우푸르지오3차,84.96,54500,2002,2015-07-03,12,석촌역,개통 전
잠실동,아시아선수촌아파트,99.385,126000,1986,2015-07-09,3,석촌역,개통 전
송파동,현대레이크빌1,168.74,84500,1999,2015-07-01,22,석촌역,개통 전
장지동,송파파인타운13단지,84.9,66100,2011,2015-07-04,13,석촌역,개통 전
오금동,현대(2-4차),130.93,83000,1984,2015-07-01,4,석촌역,개통 전
