법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층,역이름,시기
신천동,장미1,82.45,65000,1979,2013-01-30,11,석촌역,개통 전
잠실동,잠실엘스,84.8,86500,2008,2013-01-26,7,석촌역,개통 전
거여동,거여1단지,49.8,26100,1997,2013-01-09,3,석촌역,개통 전
오금동,영풍,68.06,27800,1998,2013-01-16,7,석촌역,개통 전
거여동,거여1단지,49.8,26750,1997,2013-01-16,6,석촌역,개통 전
잠실동,잠실엘스,84.88,80500,2008,2013-01-05,23,석촌역,개통 전
방이동,올림픽선수기자촌1단지,83.06,66500,1988,2013-01-12,12,석촌역,개통 전
장지동,송파파인타운3단지,84.93,51000,2008,2013-01-30,10,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,42000,1997,2013-01-22,7,석촌역,개통 전
신천동,진주,59.47,58000,1980,2013-01-21,7,석촌역,개통 전
신천동,미성,55.62,56500,1980,2013-01-26,2,석촌역,개통 전
방이동,올림픽선수기자촌3단지,128.97,99000,1988,2013-01-11,1,석촌역,개통 전
신천동,파크리오,84.79,83000,2008,2013-01-21,27,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,41400,1997,2013-01-09,9,석촌역,개통 전
가락동,가락(1차)쌍용아파트,84.69,54500,1997,2013-01-09,14,석촌역,개통 전
가락동,가락(1차)쌍용아파트,59.92,40100,1997,2013-01-22,10,석촌역,개통 전
신천동,파크리오,84.79,75000,2008,2013-01-29,18,석촌역,개통 전
잠실동,잠실엘스,59.96,65000,2008,2013-01-12,22,석촌역,개통 전
송파동,아르누보팰리스,136.54,114500,2007,2013-01-21,15,석촌역,개통 전
잠실동,리센츠,124.22,145000,2008,2013-01-08,22,석촌역,개통 전
잠실동,리센츠,59.99,68100,2008,2013-01-22,20,석촌역,개통 전
삼전동,경덕,78.71,43000,2003,2013-01-11,6,석촌역,개통 전
신천동,파크리오,84.79,68000,2008,2013-01-08,1,석촌역,개통 전
장지동,송파파인타운1단지,84.95,48500,2010,2013-01-05,10,석촌역,개통 전
신천동,파크리오,59.86,62000,2008,2013-01-25,6,석촌역,개통 전
장지동,송파파인타운3단지,84.94,47500,2008,2013-01-13,6,석촌역,개통 전
잠실동,레이크팰리스,84.82,90000,2006,2013-01-21,20,석촌역,개통 전
잠실동,잠실엘스,84.88,84000,2008,2013-01-12,17,석촌역,개통 전
잠실동,레이크팰리스,136.74,130000,2006,2013-01-21,21,석촌역,개통 전
방이동,올림픽선수기자촌2단지,83.06,66500,1988,2013-01-10,13,석촌역,개통 전
송파동,SK,83.8,50000,2001,2013-01-27,2,석촌역,개통 전
오금동,다성파크뷰,73.4,36500,2002,2013-01-14,4,석촌역,개통 전
잠실동,트리지움,59.88,69900,2007,2013-01-29,14,석촌역,개통 전
장지동,송파파인타운7단지,84.94,54500,2007,2013-01-26,7,석촌역,개통 전
장지동,송파파인타운9단지,59.93,42000,2007,2013-01-11,1,석촌역,개통 전
잠실동,리센츠,59.99,67800,2008,2013-01-16,10,석촌역,개통 전
방이동,올림픽선수기자촌3단지,100.31,75500,1988,2013-01-24,2,석촌역,개통 전
거여동,거여5단지,59.74,33400,1997,2013-01-21,10,석촌역,개통 전
문정동,현대,71.52,32000,1991,2013-01-23,3,석촌역,개통 전
