지역코드,법정동,단지명,전용면적,거래금액(만원),건축년도,계약일,층
11110,무악동,현대,84.92,"119,950",2000,2021-02-02,15
11110,창신동,창신쌍용2,64.66,"68,000",1993,2021-02-06,8
11110,내수동,경희궁의아침4단지,124.17,"169,000",2004,2021-02-17,8
11110,창신동,창신쌍용2,79.87,"77,800",1993,2021-02-04,14
11110,충신동,CS타워,22.17,"15,000",2011,2021-02-05,13
11110,창신동,창신쌍용1,54.7,"66,500",1992,2021-02-01,4
11110,평창동,롯데낙천대,110.53,"108,000",2001,2021-02-10,8
11110,창신동,창신쌍용1,79.87,"79,400",1992,2021-02-02,6
11110,평창동,밀레니엄,108.18,"74,000",2017,2021-02-01,3
11110,무악동,인왕산아이파크,84.858,"139,800",2008,2021-03-06,8
11110,사직동,광화문스페이스본(101동~105동),95.88,"134,000",2008,2021-03-06,5
11110,창신동,덕산,59.28,"53,000",1999,2021-03-25,4
11110,사직동,광화문스페이스본(101동~105동),108.07,"144,000",2008,2021-03-13,5
11110,창신동,두산,59.95,"79,500",1999,2021-03-26,14
11110,숭인동,동문A,59,"31,000",1996,2021-03-23,2
11110,창신동,덕산,59.28,"53,000",1999,2021-03-25,4
11110,명륜2가,아남1,84.9,"109,250",1995,2021-03-31,9
11110,평창동,삼성,84.98,"50,000",1998,2021-03-19,1
11110,창신동,창신쌍용2,54.7,"63,300",1993,2021-03-20,4
11110,부암동,부암스카이뷰,81,"48,500",2004,2021-03-19,5
11110,명륜1가,송림아마레스아파트,53.42,"48,000",2003,2021-03-17,6
11110,평창동,밀레니엄,84.41,"65,000",2017,2021-03-13,3
11110,평창동,엘리시아,213.07,"125,000",2009,2021-03-10,2
11110,익선동,현대뜨레비앙,46.64,"30,000",2003,2021-03-29,4
11110,홍파동,경희궁자이(2단지),84.836,"192,000",2017,2021-03-31,15
11110,사직동,광화문스페이스본(101동~105동),108.07,"144,000",2008,2021-03-13,5
11110,효제동,포레스트힐시티,22.0584,"26,000",2017,2021-03-15,11
11110,숭인동,롯데캐슬천지인,84.95,"104,500",2004,2021-03-12,20
11110,홍파동,경희궁자이(2단지),101.991,"220,000",2017,2021-03-08,6
11110,창신동,창신쌍용1,106.62,"98,500",1992,2021-03-15,12
11110,창신동,창신쌍용1,79.87,"86,500",1992,2021-03-26,13
11110,홍파동,경희궁자이(2단지),59.855,"160,000",2017,2021-03-11,13
11110,사직동,광화문스페이스본(101동~105동),95.88,"134,500",2008,2021-03-06,5
11110,숭인동,삼전솔하임4차,15.09,"12,250",2014,2021-03-28,12
11110,신영동,구암하이빌,84.94,"45,000",2002,2021-03-01,3
11110,창신동,창신쌍용2,79.87,"80,000",1993,2021-03-17,7
11110,인의동,효성쥬얼리시티,84.98,"78,000",2006,2021-03-05,8
11110,평창동,엘리시아,200.19,"120,000",2009,2021-03-23,1
11110,창신동,창신쌍용1,54.7,"68,500",1992,2021-03-13,10
11110,창신동,창신쌍용2,64.66,"66,000",1993,2021-03-01,4
11110,창신동,창신쌍용2,106.62,"89,700",1993,2021-03-01,11
11110,평창동,일성빌라트,59.82,"51,500",1996,2021-03-25,2
11110,명륜2가,아남1,84.9,"107,500",1995,2021-03-17,19
11110,사직동,광화문스페이스본(101동~105동),158.99,"155,000",2008,2021-03-03,7
11110,숭인동,종로유케이201,12.01,"11,000",2013,2021-03-15,12
11110,익선동,현대뜨레비앙,45.5,"25,000",2003,2021-03-24,3
11110,사직동,광화문스페이스본(101동~105동),159.01,"184,000",2008,2021-03-20,5
11110,무악동,인왕산아이파크,84.858,"139,800",2008,2021-03-06,8
11110,익선동,현대뜨레비앙,36.08,"26,000",2003,2021-03-22,6
11110,무악동,인왕산아이파크,157.289,"165,000",2008,2021-03-06,7
11110,숭인동,종로동광모닝스카이,15.855,"11,450",2013,2021-03-11,12
11110,무악동,현대,114.9,"144,950",2000,2021-03-11,19
11110,평동,경희궁자이(3단지),59.755,"151,000",2017,2021-03-18,2
11110,행촌동,대성아파트,19.27,"7,500",1971,2021-03-11,1
11110,익선동,현대뜨레비앙,48.54,"33,000",2003,2021-03-11,6
11110,홍파동,경희궁자이(2단지),84.934,"175,000",2017,2021-03-07,4
11110,명륜1가,렉스빌,107.94,"91,000",2006,2021-03-03,7
11110,홍파동,경희궁자이(2단지),84.944,"172,000",2017,2021-04-26,2
11110,내수동,경희궁파크팰리스,147.62,"175,000",2003,2021-04-07,5
11110,홍파동,경희궁자이(2단지),84.944,"172,000",2017,2021-04-26,2
11110,견지동,대성스카이렉스,149.8,"124,000",2008,2021-04-30,7
11110,숭인동,롯데캐슬천지인,112.54,"119,500",2004,2021-04-27,25
11110,교북동,경희궁자이(4단지),37.2635,"88,000",2017,2021-04-26,14
11110,사직동,광화문스페이스본(101동~105동),151.81,"170,000",2008,2021-04-27,3
11110,무악동,현대,84.92,"123,460",2000,2021-04-24,18
11110,창신동,창신쌍용2,79.87,"84,000",1993,2021-04-24,12
11110,평창동,삼성,84.93,"75,700",1998,2021-04-24,5
11110,평창동,일성빌라트,59.82,"54,900",1996,2021-04-24,5
11110,평창동,삼성,59.97,"52,000",1998,2021-04-17,2
11110,무악동,현대,60,"84,970",2000,2021-04-17,13
11110,평창동,일성빌라트,84.99,"76,500",1996,2021-04-20,1
11110,평창동,삼성,84.93,"75,300",1998,2021-04-15,13
11110,옥인동,세종아파트,111.31,"93,500",2005,2021-04-25,5
11110,내수동,경희궁의아침3단지,174.55,"189,000",2004,2021-04-19,2
11110,숭인동,도시그린빌라,44.4,"20,000",1997,2021-04-07,4
11110,사직동,광화문스페이스본(101동~105동),94.51,"140,000",2008,2021-04-19,5
11110,사직동,광화문스페이스본(101동~105동),158.99,"170,000",2008,2021-04-28,8
11110,숭인동,삼전솔하임2차,16.67,"12,000",2012,2021-04-27,4
11110,창신동,창신쌍용1,54.7,"69,800",1992,2021-04-20,4
11110,무악동,인왕산아이파크,114.931,"165,000",2008,2021-04-01,16
11110,창신동,창신이수,84.5,"84,800",2003,2021-04-27,5
11110,홍파동,경희궁자이(2단지),84.907,"180,000",2017,2021-04-17,18
11110,평동,경희궁자이(3단지),84.614,"193,000",2017,2021-04-19,19
11110,숭인동,종로청계힐스테이트,59.9426,"91,900",2009,2021-04-17,4
11110,내수동,경희궁파크팰리스,146.39,"183,000",2003,2021-04-02,10
11110,내수동,경희궁파크팰리스,147.62,"175,000",2003,2021-04-07,5
11110,무악동,현대,114.9,"146,000",2000,2021-04-07,17
11110,창신동,창신쌍용2,64.66,"64,800",1993,2021-04-02,2
11110,사직동,광화문스페이스본(101동~105동),94.51,"134,000",2008,2021-04-10,4
11110,평창동,벽산블루밍평창힐스,150.83,"140,000",2004,2021-04-22,3
11110,숭인동,삼전솔하임4차,15.09,"12,200",2014,2021-04-21,10
11110,숭인동,삼전솔하임4차,15.09,"13,000",2014,2021-04-02,14
11110,신문로2가,디팰리스,158.324,"375,000",2020,2021-04-14,14
11110,무악동,인왕산2차아이파크,84.2395,"127,000",2015,2021-04-12,3
11110,통인동,효자,61.49,"29,000",1999,2021-04-01,3
11110,무악동,인왕산2차아이파크,112.8144,"145,000",2015,2021-04-03,5
11110,평창동,롯데캐슬로잔,215.146,"175,000",2009,2021-04-03,9
11110,홍파동,경희궁자이(2단지),84.836,"175,000",2017,2021-04-10,8
11110,이화동,송림아마레스아파트,84.42,"47,500",2004,2021-04-15,5
11110,익선동,운현신화타워,100.77,"85,000",1998,2021-04-01,6
11110,익선동,현대뜨레비앙,28.1,"23,000",2003,2021-04-01,7
11110,창신동,창신쌍용2,54.7,"64,900",1993,2021-05-28,11
11110,창신동,창신쌍용2,54.7,"61,000",1993,2021-05-31,2
11110,창신동,두산,59.95,"79,500",1999,2021-05-25,2
11110,행촌동,대성아파트,30.28,"21,500",1971,2021-05-28,3
11110,창신동,창신쌍용2,54.7,"62,900",1993,2021-05-22,2
11110,무악동,현대,84.92,"126,990",2000,2021-05-21,14
11110,무악동,인왕산아이파크,84.858,"129,000",2008,2021-05-24,1
11110,창신동,창신쌍용2,64.66,"68,800",1993,2021-05-26,12
11110,평창동,삼성,84.93,"74,500",1998,2021-05-23,12
11110,평동,경희궁자이(3단지),84.836,"197,000",2017,2021-05-15,16
11110,평창동,벽산블루밍평창힐스,210.53,"155,000",2004,2021-05-29,4
11110,무악동,인왕산아이파크,59.993,"115,000",2008,2021-05-23,6
11110,평창동,롯데캐슬로잔,238.858,"210,000",2009,2021-05-28,5
11110,명륜2가,아남1,84.9,"123,000",1995,2021-05-14,13
11110,명륜2가,아남1,84.9,"120,000",1995,2021-05-10,11
11110,견지동,대성스카이렉스,116.03,"80,000",2008,2021-05-08,14
11110,숭인동,숭인모범102동,59.74,"36,000",2000,2021-05-21,6
11110,창신동,창신쌍용2,79.87,"77,500",1993,2021-05-08,12
11110,신문로1가,신문로맨션,91.53,"78,000",1981,2021-05-16,9
11110,무악동,인왕산아이파크,84.858,"142,000",2008,2021-05-01,11
11110,평동,경희궁자이(3단지),59.471,"160,000",2017,2021-05-19,5
11110,통인동,효자,61.49,"32,000",1999,2021-05-13,3
11110,평동,경희궁자이(3단지),59.855,"157,000",2017,2021-05-14,14
11110,홍파동,경희궁자이(2단지),84.614,"185,000",2017,2021-05-08,8
11110,사직동,광화문스페이스본(101동~105동),151.81,"177,700",2008,2021-05-24,8
11110,평동,경희궁자이(3단지),116.938,"240,000",2017,2021-05-11,7
11110,익선동,현대뜨레비앙,46.64,"31,700",2003,2021-05-03,5
11110,익선동,현대뜨레비앙,43.98,"29,000",2003,2021-05-19,7
11110,창신동,창신이수,84.5,"84,800",2003,2021-05-19,5
11110,숭인동,버넷하임1,17.96,"12,000",2013,2021-05-17,14
11110,숭인동,종로청계힐스테이트,114.7153,"110,000",2009,2021-05-08,5
11110,익선동,현대뜨레비앙,36.08,"26,100",2003,2021-05-09,8
11110,행촌동,대성아파트,30.28,"18,000",1971,2021-05-05,1
11110,인의동,효성쥬얼리시티,106.81,"105,000",2006,2021-06-25,8
11110,평창동,르트랑시망,140.49,"100,000",2008,2021-06-25,1
11110,숭인동,종로센트레빌,59.92,"98,000",2008,2021-06-19,2
11110,창신동,MID그린(6동),59.04,"56,500",2002,2021-06-19,6
11110,무악동,현대,60,"98,950",2000,2021-06-19,5
11110,무악동,현대,60,"94,490",2000,2021-06-25,6
11110,창신동,창신쌍용2,54.7,"67,000",1993,2021-06-25,4
11110,창신동,창신쌍용2,54.7,"67,800",1993,2021-06-19,6
11110,신교동,신현(101동),84.82,"80,000",2002,2021-06-15,1
11110,숭인동,삼전솔하임2차,16.67,"11,700",2012,2021-06-16,10
11110,창신동,창신쌍용2,64.66,"69,900",1993,2021-06-19,7
11110,창신동,창신쌍용2,54.7,"64,400",1993,2021-06-18,3
11110,창신동,두산,59.95,"83,000",1999,2021-06-24,20
11110,숭인동,종로중흥S클래스,17.811,"12,900",2013,2021-06-15,14
11110,숭인동,종로청계힐스테이트,84.9478,"108,500",2009,2021-06-28,16
11110,창신동,덕산,59.28,"53,000",1999,2021-06-06,5
11110,무악동,현대,114.9,"149,000",2000,2021-06-06,9
11110,부암동,부암스카이뷰,81,"58,400",2004,2021-06-19,4
11110,무악동,인왕산아이파크,84.858,"145,000",2008,2021-06-23,12
11110,신영동,대아파크빌,59.22,"39,000",1998,2021-06-21,4
11110,인의동,효성쥬얼리시티,92.81,"95,000",2006,2021-06-13,15
